BookID,Title,Author,Category,PublishedYear,Pages,ISBN,Availability,Description
1,The Hobbit,J.R.R. Tolkien,Fantasy,1937,310,1,true,"Bilbo Baggins goes on an unexpected journey to the Lonely Mountain to reclaim a treasure guarded by a dragon."
2,1984,George Orwell,Dystopian,1949,328,2,true,"A chilling tale of a totalitarian society controlled by Big Brother and constant surveillance."
3,To Kill a Mockingbird,Harper Lee,Classic,1960,281,3,false,"A story of racial injustice and moral growth in the Deep South seen through the eyes of young Scout Finch."
4,The Great Gatsby,F. Scott Fitzgerald,Classic,1925,180,4,true,"A critique of the American Dream as seen through the tragic story of Jay Gatsby."
5,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,309,5,false,"The first book in the Harry Potter series where Harry discovers he is a wizard and attends Hogwarts."
6,The Catcher in the Rye,J.D. Salinger,Classic,1951,214,6,true,"Holden Caulfield recounts the days following his expulsion from prep school in New York City."
7,Pride and Prejudice,Jane Austen,Romance,1813,279,7,true,"Elizabeth Bennet navigates issues of manners, upbringing, and marriage in early 19th century England."
8,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,1954,423,8,false,"Frodo begins his journey to destroy the One Ring with the help of the Fellowship."
9,Brave New World,Aldous Huxley,Dystopian,1932,311,9,true,"A futuristic society driven by technological advancements and conditioning."
10,Moby Dick,Herman Melville,Adventure,1851,585,10,false,"Captain Ahab obsessively hunts the white whale Moby Dick."
11,The Da Vinci Code,Dan Brown,Thriller,2003,489,11,true,"A symbologist uncovers a conspiracy within the Catholic Church while solving a murder mystery."
12,The Alchemist,Paulo Coelho,Adventure,1988,208,12,true,"A shepherd named Santiago embarks on a journey to find a hidden treasure."
13,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,C.S. Lewis,Fantasy,1950,208,13,true,"Four siblings discover a magical world inside a wardrobe, battling the evil White Witch."
14,Anna Karenina,Leo Tolstoy,Classic,1877,864,14,false,"A tragic love story exploring Russian society and morality."
15,The Hunger Games,Suzanne Collins,Dystopian,2008,374,15,true,"Children must fight to the death in televised games for survival in a dystopian future."
16,The Fault in Our Stars,John Green,Romance,2012,313,16,true,"Teenagers Hazel and Augustus fall in love while coping with cancer."
17,The Shining,Stephen King,Horror,1977,447,17,false,"A family becomes caretakers of a haunted hotel with terrifying consequences."
18,Dracula,Bram Stoker,Horror,1897,418,18,true,"Count Dracula attempts to move from Transylvania to England, spreading vampirism."
19,Frankenstein,Mary Shelley,Horror,1818,280,19,true,"A scientist creates life, but his monstrous creation brings tragedy."
20,The Odyssey,Homer,Classic,-800,541,20,true,"Odysseus journeys home after the Trojan War, facing mythical creatures and divine obstacles."
